User,Type_Offline,Confidence_Offline,Events
francoismg,Bot,0.291,18
fubar2,Human,0.834,300
gabemery,Human,0.015,50
galaxybot,Bot,0.908,103
galaxyproject-sentryintegration[bot],Bot,1.0,95
gecage952,Human,0.635,30
github-actions[bot],Bot,1.0,300
github-advanced-security[bot],Bot,1.0,300
goshng,Unknown,,1
guerler,Human,0.843,300
hechth,Human,0.917,300
hellokid200,Unknown,,1
hexylena,Human,0.473,300
hujambo-dunia,Human,0.729,300
imjiaoyuan,Unknown,,1
itisAliRH,Human,0.679,300
jamestiotio,Human,0.912,42
jdavcs,Human,0.759,300
jennaj,Human,0.809,300
jichanghe,Unknown,,1
jinysd,Unknown,,2
jmchilton,Human,0.612,300
jvwilliams23,Unknown,,3
k-egg,Human,0.444,10
kostrykin,Human,0.949,199
ksuderman,Human,0.851,300
kysrpex,Human,0.778,300
laperlej,Human,0.816,14
lattaai5,Unknown,,3
lindenb,Unknown,,2
ljocha,Unknown,,4
lldelisle,Human,0.779,300
lmohrmann,Bot,0.06,29
luiskba40,Unknown,,1
lumberbot-app[bot],Bot,1.0,300
lybCNU,Human,0.694,11
maartenschermer,Unknown,,2
manabuishii,Unknown,,2
mapk-amazon,Human,0.765,37
martenson,Human,0.8,300
maxnoe,Human,0.949,300
mcuaya1,Bot,0.002,5
meeseeksmachine,Bot,0.93,300
mholler86,Unknown,,2
mira-miracoli,Human,0.831,300
mireianievas,Human,0.26,64
morcuended,Human,0.949,210
mpalmada,Human,0.701,6
mr-c,Human,0.942,300
mvdbeek,Human,0.833,300
natefoo,Human,0.732,300
nekrut,Human,0.821,300
neoformit,Human,0.777,300
nilchia,Human,0.862,263
nomadscientist,Human,0.769,300
npinter,Human,0.689,13
nsoranzo,Human,0.821,300
nuwang,Human,0.782,300
omooon,Unknown,,1
patrick-austin,Human,0.741,53
pauldg,Human,0.539,40
paulocilasjr,Human,0.375,54
paulzierep,Human,0.869,300
pavanvidem,Human,0.787,300
pavelvazquez,Unknown,,1
pichardp,Unknown,,1
pvanheus,Human,0.866,276
pythoninthegrass,Human,0.911,7
qchiujunhao,Human,0.564,14
rajkaran27,Unknown,,1
registerrier,Human,0.944,300
remyd1,Unknown,,1
review-notebook-app[bot],Bot,1.0,300
reytakop,Human,0.223,18
richard-burhans,Human,0.904,300
sam-dot-data,Unknown,,1
sanjaysrikakulam,Human,0.731,225
sanvila,Unknown,,4
sharikjavid,Unknown,,1
shenweiyan,Human,0.714,6
sjtutim,Unknown,,1
ssjt21,Unknown,,1
stahanna,Human,0.02,32
stain,Human,0.632,36
tStehling,Human,0.715,14
tashfia-shoron,Unknown,,2
thechis,Unknown,,2
tunbehaun273,Human,0.834,82
vladvisan,Human,0.566,73
volodymyrss,Human,0.954,163
vuillaut,Human,0.915,82
wandou1994,Unknown,,3
whaletail,Bot,0.823,57
wm75,Human,0.779,300
wuwenjie1992,Bot,0.345,42
xuan-lab,Unknown,,2
yaohuan23,Unknown,,2
ygxxii,Unknown,,4
yuyannlin,Unknown,,1
yvanlebras,Human,0.79,300
zhangcaocao,Unknown,,1
zhouconghao,Human,0.921,13
