User,Type_Offline,Confidence_Offline,Events
dong123-wang,Unknown,,1
drosofff,Human,0.605,24
dsavchenko,Human,0.833,12
elcharitas,Unknown,,1
elichad,Human,0.755,133
enolfc,Human,0.841,21
enprop,Human,0.58,11
ericklima-ca,Unknown,,1
eshnd,Unknown,,1
fadihamad94,Bot,0.442,5
fengxuedian,Unknown,,1
flexagoon,Unknown,,2
francoismg,Bot,0.291,18
frjnn,Unknown,,4
fubar2,Human,0.834,300
galaxybot,Bot,0.908,103
galaxyproject-sentryintegration[bot],Bot,1.0,95
gdalle,Human,0.955,300
gecage952,Human,0.635,30
github-actions[bot],Bot,1.0,300
github-advanced-security[bot],Bot,1.0,300
goshng,Unknown,,1
guerler,Human,0.843,300
haansn08,Unknown,,1
hechth,Human,0.917,300
hellokid200,Unknown,,1
hexylena,Human,0.473,300
hsty7,Unknown,,1
hujambo-dunia,Human,0.729,300
imjiaoyuan,Unknown,,1
itisAliRH,Human,0.679,300
jamestiotio,Human,0.912,42
janneshb,Unknown,,2
jarriagadat,Human,0.795,5
jbcaillau,Human,0.853,14
jd-foster,Human,0.924,300
jd-lara,Human,0.902,124
jdavcs,Human,0.759,300
jennaj,Human,0.809,300
jichanghe,Unknown,,1
jinysd,Unknown,,2
jmchilton,Human,0.612,300
joaquimg,Human,0.787,300
juan15377,Unknown,,4
juanjospina,Unknown,,2
jvwilliams23,Unknown,,3
kands-code,Human,0.296,14
kostrykin,Human,0.949,199
ksuderman,Human,0.851,300
kysrpex,Human,0.778,300
langestefan,Human,0.948,35
laperlej,Human,0.816,14
lindenb,Unknown,,2
ljocha,Unknown,,4
lldelisle,Human,0.779,300
llkvini,Human,0.773,7
lukemiloszewski,Human,0.747,7
lybCNU,Human,0.694,11
m3ai,Unknown,,1
maartenschermer,Unknown,,2
manabuishii,Unknown,,2
mapk-amazon,Human,0.765,37
martenson,Human,0.8,300
matbesancon,Human,0.947,300
mcuaya1,Bot,0.002,5
mira-miracoli,Human,0.831,300
mitchphillipson,Bot,0.104,20
mlubin,Human,0.789,300
mpalmada,Human,0.701,6
mr-c,Human,0.942,300
mvdbeek,Human,0.833,300
my-cengstud,Unknown,,2
n8xm,Human,0.574,9
natefoo,Human,0.732,300
nekrut,Human,0.821,300
neoformit,Human,0.777,300
nilchia,Human,0.862,263
nomadscientist,Human,0.769,300
npinter,Human,0.689,13
nsoranzo,Human,0.821,300
nuwang,Human,0.782,300
odow,Human,0.774,300
papdim,Unknown,,2
patrick-austin,Human,0.741,53
pauldg,Human,0.539,40
paulocilasjr,Human,0.375,54
paulzierep,Human,0.869,300
pavanvidem,Human,0.787,300
pavelvazquez,Unknown,,1
plover0226,Bot,0.52,44
pvanheus,Human,0.866,276
pythoninthegrass,Human,0.911,7
pytsacjofxaBno,Unknown,,3
qchiujunhao,Human,0.564,14
rajkaran27,Unknown,,1
remyd1,Unknown,,1
reytakop,Human,0.223,18
richard-burhans,Human,0.904,300
roryyarr,Unknown,,4
sam-dot-data,Unknown,,1
sanjaysrikakulam,Human,0.731,225
sesveti,Unknown,,1
sharikjavid,Unknown,,1
shenweiyan,Human,0.714,6
shuohaopolyu,Human,0.76,5
sjtutim,Unknown,,1
songroom2016,Unknown,,2
ssjt21,Unknown,,1
sstroemer,Human,0.771,37
stain,Human,0.632,36
tStehling,Human,0.715,14
takeuchi5512,Unknown,,3
tarithj,Unknown,,2
tashfia-shoron,Unknown,,2
thechis,Unknown,,2
tj-amano,Unknown,,1
trathi05,Human,0.527,12
veegeebree21,Bot,0.16,20
vladvisan,Human,0.566,73
volodymyrss,Human,0.954,163
wandou1994,Unknown,,3
whaletail,Bot,0.823,57
wm75,Human,0.779,300
wsmoses,Human,0.871,300
wuwenjie1992,Bot,0.345,42
xuan-lab,Unknown,,2
yaohuan23,Unknown,,2
ygxxii,Unknown,,4
yrbnr7034,Unknown,,1
yvanlebras,Human,0.79,300
zelenkastiot,Human,0.598,19
zinccat,Human,0.795,5
zyk1999,Unknown,,1
